Date,QQQ
1/31/08,-0.1189
2/29/08,-0.0483
3/31/08,0.0187
4/30/08,0.0798
5/31/08,0.0593
6/30/08,-0.0961
7/31/08,0.0064
8/31/08,0.0145
9/30/08,-0.1558
10/31/08,-0.1547
11/30/08,-0.1146
12/31/08,0.0228
1/31/09,-0.0229
2/28/09,-0.0526
3/31/09,0.1032
4/30/09,0.1306
5/31/09,0.0321
6/30/09,0.0295
7/31/09,0.0844
8/31/09,0.0147
9/30/09,0.0565
10/31/09,-0.0305
11/30/09,0.0635
12/31/09,0.052
1/31/10,-0.0647
2/28/10,0.046
3/31/10,0.0771
4/30/10,0.0224
5/31/10,-0.0739
6/30/10,-0.0598
7/31/10,0.0726
8/31/10,-0.0513
9/30/10,0.1317
10/31/10,0.0634
11/30/10,-0.0017
12/31/10,0.0476
1/31/11,0.0283
2/28/11,0.0316
3/31/11,-0.0045
4/30/11,0.0287
5/31/11,-0.0122
6/30/11,-0.0202
7/31/11,0.0167
8/31/11,-0.0507
9/30/11,-0.0449
10/31/11,0.104
11/30/11,-0.0269
12/31/11,-0.0062
1/31/12,0.0842
2/29/12,0.0641
3/31/12,0.0505
4/30/12,-0.0117
5/31/12,-0.0704
6/30/12,0.0362
7/31/12,0.01
8/31/12,0.0519
9/30/12,0.0089
10/31/12,-0.0528
11/30/12,0.0131
12/31/12,-0.0046
1/31/13,0.0267
2/28/13,0.0034
3/31/13,0.0303
4/30/13,0.0254
5/31/13,0.0358
6/30/13,-0.0239
7/31/13,0.0631
8/31/13,-0.004
9/30/13,0.0483
10/31/13,0.0496
11/30/13,0.0355
12/31/13,0.0292
1/31/14,-0.0192
2/28/14,0.0515
3/31/14,-0.0273
4/30/14,-0.0032
5/31/14,0.0449
6/30/14,0.0312
7/31/14,0.0118
8/31/14,0.0501
9/30/14,-0.0076
10/31/14,0.0264
11/30/14,0.0455
12/31/14,-0.0224
1/31/15,-0.0208
2/28/15,0.0722
3/31/15,-0.0236
4/30/15,0.0192
5/31/15,0.0225
6/30/15,-0.0248
7/31/15,0.0456
8/31/15,-0.0682
9/30/15,-0.022
10/31/15,0.1137
11/30/15,0.0061
12/31/15,-0.0159
1/31/16,-0.0691
2/29/16,-0.0157
3/31/16,0.0685
4/30/16,-0.0319
5/31/16,0.0437
6/30/16,-0.0227
7/31/16,0.0715
8/31/16,0.0105
9/30/16,0.0221
10/31/16,-0.0146
11/30/16,0.0044
12/31/16,0.0113
1/31/17,0.0514
2/28/17,0.0438
3/31/17,0.0203
4/30/17,0.0273
5/31/17,0.039
6/30/17,-0.0232
7/31/17,0.0406
8/31/17,0.0207
9/30/17,-0.0029
10/31/17,0.0461
11/30/17,0.0197
12/31/17,0.006
1/31/18,0.0876
2/28/18,-0.0129
3/31/18,-0.0408
4/30/18,0.0051
5/31/18,0.0567
6/30/18,0.0115
7/31/18,0.028
8/31/18,0.0578
9/30/18,-0.0028
10/31/18,-0.086
11/30/18,-0.0026
12/31/18,-0.0865
1/31/19,0.0901
2/28/19,0.0299
3/31/19,0.0392
4/30/19,0.055
5/31/19,-0.0823
6/30/19,0.0759
7/31/19,0.0233
8/31/19,-0.019
9/30/19,0.0092
10/31/19,0.0438
11/30/19,0.0407
12/31/19,0.0389
1/31/20,0.0304
2/29/20,-0.0606
3/31/20,-0.0729
4/30/20,0.1497
5/31/20,0.066
6/30/20,0.0628
7/31/20,0.0735
8/31/20,0.1094
9/30/20,-0.0578
10/31/20,-0.0304
11/30/20,0.1123
