Date,Aggressive
1/31/08,-0.0636
2/29/08,-0.0091
3/31/08,0.0092
4/30/08,0.0142
5/31/08,0.0753
6/30/08,-0.0823
7/31/08,0.035
8/31/08,-0.0183
9/30/08,-0.0741
10/31/08,-0.0733
11/30/08,0.0935
12/31/08,0.118
1/31/09,-0.0895
2/28/09,-0.1067
3/31/09,0.0642
4/30/09,0.1795
5/31/09,0.0681
6/30/09,0.0111
7/31/09,0.1049
8/31/09,0.0112
9/30/09,0.0592
10/31/09,-0.0612
11/30/09,0.0355
12/31/09,0.07
1/31/10,-0.0667
2/28/10,0.0122
3/31/10,0.1038
4/30/10,0.032
5/31/10,-0.0122
6/30/10,0.0109
7/31/10,0.0199
8/31/10,-0.0549
9/30/10,0.0583
10/31/10,0.0745
11/30/10,0.0034
12/31/10,0.0412
1/31/11,0.0221
2/28/11,0.0339
3/31/11,0.0043
4/30/11,0.0473
5/31/11,-0.0086
6/30/11,-0.0236
7/31/11,0.0232
8/31/11,0.0143
9/30/11,0.0467
10/31/11,0.0387
11/30/11,-0.056
12/31/11,0.0209
1/31/12,0.0541
2/29/12,0.0607
3/31/12,0.0623
4/30/12,-0.0135
5/31/12,0.0269
6/30/12,0.0169
7/31/12,-0.0075
8/31/12,0.011
9/30/12,0.0031
10/31/12,-0.079
11/30/12,0.0291
12/31/12,0.0202
1/31/13,0.0759
2/28/13,0.0063
3/31/13,0.0158
4/30/13,0.0619
5/31/13,0.0044
6/30/13,-0.0241
7/31/13,0.0838
8/31/13,-0.0297
9/30/13,0.0713
10/31/13,0.049
11/30/13,0.0372
12/31/13,0.0294
1/31/14,0.0077
2/28/14,0.0304
3/31/14,-0.06
4/30/14,0
5/31/14,0.0375
6/30/14,0.0433
7/31/14,-0.023
8/31/14,0.0563
9/30/14,-0.0506
10/31/14,0.0228
11/30/14,0.04
12/31/14,-0.0176
1/31/15,0.0526
2/28/15,0.0102
3/31/15,-0.0181
4/30/15,-0.0294
5/31/15,0.0217
6/30/15,-0.0209
7/31/15,0.0504
8/31/15,-0.079
9/30/15,0.0018
10/31/15,0.0489
11/30/15,0.0135
12/31/15,-0.0268
1/31/16,-0.0161
2/29/16,0.0164
3/31/16,0.0143
4/30/16,-0.0299
5/31/16,0.0341
6/30/16,-0.0353
7/31/16,0.0434
8/31/16,-0.0136
9/30/16,0.0296
10/31/16,-0.0476
11/30/16,-0.0023
12/31/16,0.0051
1/31/17,0.0566
2/28/17,0.0509
3/31/17,0.0172
4/30/17,0.0401
5/31/17,0.019
6/30/17,-0.0103
7/31/17,0.0131
8/31/17,0.0112
9/30/17,-0.0133
10/31/17,0.0269
11/30/17,0.0116
12/31/17,0.0077
1/31/18,0.0413
2/28/18,-0.0106
3/31/18,0.0064
4/30/18,-0.0146
5/31/18,0.0795
6/30/18,0.0167
7/31/18,0.0189
8/31/18,0.0554
9/30/18,-0.0127
10/31/18,-0.1146
11/30/18,0.0192
12/31/18,0.0237
1/31/19,0.0277
2/28/19,0.0507
3/31/19,0.0037
4/30/19,0.0138
5/31/19,-0.0957
6/30/19,0.0274
7/31/19,0.0239
8/31/19,-0.034
9/30/19,-0.0122
10/31/19,0.0459
11/30/19,0.0862
12/31/19,0.0637
1/31/20,0.0472
2/29/20,0.0213
3/31/20,-0.0128
4/30/20,0.0842
5/31/20,0.1091
6/30/20,0.0757
7/31/20,0.0879
8/31/20,0.1702
9/30/20,-0.0443
10/31/20,-0.0163
11/30/20,0.1999
