Name,Price,Final_Weight
Chainlink,8.6691786601,15.0
Tezos,3.21855518472,15.0
Stellar,0.09688175094010001,15.0
UNUS SED LEO,1.16894314036,10.257522757052493
Cosmos,3.9911971357800002,6.681813171670785
HedgeTrade,1.34033471394,4.89146457424454
OKB,5.17063242333,4.223715238229318
Synthetix Network Token,3.1470431097400002,3.8974800748578176
Algorand,0.29793255570300003,3.5188269378758408
Augur,19.551943372,3.3882061197818225
Hyperion,0.624820638728,3.237643174428658
Waves,1.3784259096899998,2.740208304971417
Holo,0.0007219158173119998,2.549536812329915
DxChain Token,0.00205700566015,2.4029678259406824
Aurora,0.015431595398600001,2.3863598377432997
