No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,715.13B,26.29,258.36,-0.95%,"15,457,546"
2,TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,416.53B,28.06,99.67,6.92%,"15,989,152"
3,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,Switzerland,211.77B,27.88,86.31,0.24%,"709,249"
4,ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,176.91B,44.72,424.89,1.26%,"398,225"
5,UN,The Unilever Group,Consumer Defensive,Household & Personal Products,Netherlands,165.22B,23.49,60.73,-2.63%,"1,313,844"
6,ACN,Accenture plc,Technology,Information Technology Services,Ireland,156.91B,30.49,244.29,1.04%,"950,644"
7,AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom,150.25B,60.34,56.14,-2.16%,"4,329,708"
8,SAP,SAP SE,Technology,Software - Application,Germany,145.09B,24.89,118.90,-1.18%,"631,041"
9,LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,133.72B,61.38,253.70,-1.31%,"1,188,543"
10,JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,China,130.37B,43.39,85.14,-7.54%,"28,333,258"
11,BHP,BHP Group,Basic Materials,Other Industrial Metals & Mining,Australia,123.80B,16.87,53.88,1.76%,"1,816,013"
12,SHOP,Shopify Inc.,Technology,Software - Application,Canada,112.87B,585.65,913.75,-0.50%,"1,345,023"
13,RY,Royal Bank of Canada,Financial,Banks - Diversified,Canada,108.59B,12.91,77.46,1.34%,"343,213"
14,RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,United Kingdom,104.61B,14.19,62.96,0.72%,"1,087,722"
15,GSK,GlaxoSmithKline plc,Healthcare,Drug Manufacturers - General,United Kingdom,95.95B,11.53,37.95,-0.91%,"4,392,294"
16,TD,The Toronto-Dominion Bank,Financial,Banks - Diversified,Canada,88.55B,12.58,50.39,2.02%,"963,014"
17,MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,Argentina,64.51B,-,1281.55,-1.54%,"310,905"
18,BP,BP p.l.c.,Energy,Oil & Gas Integrated,United Kingdom,63.72B,-,19.76,5.11%,"15,484,768"
19,INFY,Infosys Limited,Technology,Information Technology Services,India,63.71B,27.16,15.47,1.18%,"5,688,799"
20,NTES,"NetEase, Inc.",Communication Services,Internet Content & Information,China,60.35B,120.26,86.86,-1.60%,"1,746,369"
21,ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,Canada,58.54B,38.63,29.06,2.20%,"4,060,931"
22,ZTO,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,China,57.27B,31.05,33.27,1.65%,"1,897,916"
23,TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Japan,54.06B,21.31,17.23,-0.33%,"728,986"
24,UBS,UBS Group AG,Financial,Banks - Diversified,Switzerland,52.31B,8.99,14.27,4.43%,"4,190,447"
25,BIDU,"Baidu, Inc.",Communication Services,Internet Content & Information,China,48.59B,94.58,147.33,1.55%,"3,156,887"
26,SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,Luxembourg,48.46B,-,247.13,-2.51%,"987,499"
27,AON,Aon Plc,Financial,Insurance Brokers,United Kingdom,45.67B,26.38,207.69,1.59%,"1,131,903"
28,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,45.17B,33.78,117.13,2.34%,"1,357,615"
29,TAL,TAL Education Group,Consumer Defensive,Education & Training Services,China,43.15B,14918.00,75.25,0.88%,"1,383,680"
30,LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,Canada,42.99B,78.95,331.78,1.94%,"658,164"
31,VOD,Vodafone Group Plc,Communication Services,Telecom Services,United Kingdom,41.95B,-,16.70,3.63%,"6,650,408"
32,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Netherlands,40.37B,-,150.02,2.41%,"1,307,656"
33,INFO,IHS Markit Ltd.,Industrials,Consulting Services,United Kingdom,35.93B,40.15,92.07,0.44%,"716,091"
34,TEL,TE Connectivity Ltd.,Technology,Electronic Components,Switzerland,35.17B,-,110.82,1.17%,"1,246,309"
35,TT,Trane Technologies plc,Industrials,Specialty Industrial Machinery,Ireland,34.43B,35.82,152.10,2.77%,"1,319,925"
36,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,Ireland,32.60B,53.15,45.23,1.30%,"6,058,909"
37,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland,32.00B,-,65.97,0.86%,"791,939"
38,EDU,New Oriental Education & Technology Group Inc.,Consumer Defensive,Education & Training Services,China,28.74B,73.06,177.05,2.12%,"495,460"
39,CS,Credit Suisse Group AG,Financial,Banks - Diversified,Switzerland,28.37B,7.02,12.04,2.47%,"1,965,759"
40,MRVL,Marvell Technology Group Ltd.,Technology,Semiconductors,Bermuda,27.88B,21.72,43.05,-0.49%,"4,667,065"
41,SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,Canada,20.85B,-,14.88,6.94%,"6,425,345"
42,STX,Seagate Technology plc,Technology,Computer Hardware,Ireland,13.67B,13.99,55.84,2.07%,"2,312,545"
43,LBTYA,Liberty Global plc,Communication Services,Entertainment,United Kingdom,11.87B,-,22.60,4.53%,"1,593,499"
44,QGEN,QIAGEN N.V.,Healthcare,Diagnostics & Research,Netherlands,10.84B,57.95,46.32,-2.99%,"608,986"
45,LBTYK,Liberty Global plc,Communication Services,Entertainment,United Kingdom,8.18B,-,21.94,4.40%,"4,882,438"
46,ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden,7.35B,49.70,89.11,1.99%,"151,104"
47,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland,7.19B,-,106.96,2.89%,"528,186"
